Title,Author,ISBN,My Rating,Average Rating,Publisher,Binding,Year Published,Original Publication Year,Date Read,Date Added,Shelves,Bookshelves,My Review,Additional Authors,Ratings Count,Shelf,Genre,Format,Series / Section,Volume,Pages,Awards,Notes
The First Law Trilogy,"Abercrombie, Joe",9780316361194,,4.53,Orbit,Paperback,2016,,,,,fiction fantasy,,,11469,fiction,Fantasy,Omnibus file,The First Law,1–3,1680,,"Omnibus confirmed at 1,680 pp (Orbit, Nov 2016). Gollancz also issued a 3-volume boxed set (~1,701 pp across the three books) and a Kindle omnibus listed at 1,600 pp. Component figures below are the Gollancz UK paperbacks."
The Hitchhiker's Guide to the Galaxy,"Adams, Douglas",,,,Del Rey / Pan,Mass Market Paperback,1979,,,,,fiction science-fiction satire,,,,fiction,Science Fiction; Satire,Series volume,Hitchhiker's Guide,1,216,,Pan first edition runs 180 pp; Del Rey US paperback 216 pp. Frequently bundled into omnibus editions of 815 pp.
Watership Down,"Adams, Richard",,,,Scribner,Paperback,1972,,,,,fiction adventure classics,,,,fiction,Adventure; Classics,Standalone,,,476,Carnegie Medal (1972); Guardian Children's Fiction Prize (1973),
Nova Roma 2,"Anderson, Gentry",,,,,,,,,,,fiction historical-fiction,,"Ladebauche, John, IV",,fiction,Historical Fiction,Series volume,Nova Roma,2,,,Independently published; no reliable print bibliographic record found. Page count not established.
Nova Roma,"Anderson, Gentry",,,,,,,,,,,fiction historical-fiction,,,,fiction,Historical Fiction,Series volume,Nova Roma,1,,,Independently published; no reliable print bibliographic record found. Page count not established.
The Complete Robot,"Asimov, Isaac",,,,Doubleday,Hardcover,1982,,,,,fiction science-fiction short-stories,,,,fiction,Science Fiction; Short Stories,Story collection,Robot,—,558,,"A 31-story collection, not a multi-novel omnibus, so there are no component books to split out. Overlaps heavily with I, Robot: all nine I, Robot stories appear here, without the framing narrative. Treated as one work in the totals."
The Foundation Novels,"Asimov, Isaac",,,,Bantam Spectra,ebook,2014,,,,,fiction science-fiction,,,,fiction,Science Fiction,Omnibus file,Foundation,1–7,2581,"Hugo, Best All-Time Series (1966) — awarded to the Foundation trilogy; Hugo, Best Novel (1983); Locus, Best SF Novel (1983)","Confirmed as the seven-volume Foundation eBook bundle. Digital-only, so there is no physical omnibus page count to report. Component figures are standard Bantam/Spectra paperbacks."
"I, Robot","Asimov, Isaac",,,,Bantam,Paperback,1950,,,,,fiction science-fiction short-stories,,,,fiction,Science Fiction; Short Stories,Series volume,Robot,1,253,,Nine linked stories with a framing narrative. All nine also appear in The Complete Robot.
The Caves of Steel,"Asimov, Isaac",,,,Bantam,Paperback,1954,,,,,fiction science-fiction mystery-and-crime,,,,fiction,Science Fiction; Mystery & Crime,Series volume,Robot,2,270,,
The Naked Sun,"Asimov, Isaac",,,,Bantam,Paperback,1957,,,,,fiction science-fiction mystery-and-crime,,,,fiction,Science Fiction; Mystery & Crime,Series volume,Robot,3,220,,
